average_income,fishing_dependency,unemployment_rate,tourism_revenue,fish_stock_health,potential_habitat_restoration,marine_biodiversity,carbon_sequestration_potential,current_offshore_wind_farms,distance_from_offshore_wind_farm,potential_wind_farm_capacity,Ranking,community_name
48117.0,0.1307109050418747,0.0209511189660482,456168.0,59.93816019168533,0.7093596375892448,85.60027401716201,0.3458291329328067,0.0,117.0,21.0,0.7047848476000776,Community E
28066.0,0.3595319744119257,0.0366023410240484,416905.0,72.40875141556143,0.7782720665063299,71.02503554583157,0.2919110677137253,0.0,38.0,13.0,0.6631669643018124,Community D
49798.0,0.1528373203359536,0.0556869521975687,210282.0,70.92568003947999,0.7668572760149355,54.2131280610046,0.4695130324188769,0.0,126.0,49.0,0.6247456555471395,Community D
47528.0,0.105303071967424,0.034016153600564,372965.0,77.38195373320762,0.4557548148499334,52.68807409861232,0.2327389725845274,0.0,33.0,10.0,0.6111358455479293,Community D
34548.0,0.1036680947092717,0.0838649901129332,125206.0,85.13510395328603,0.382521277750295,79.94804977636812,0.1021232700384848,0.0,28.0,46.0,0.5897367618260558,Community A
48244.0,0.4932751836395744,0.1047846095754431,408464.0,78.6020867285713,0.7988867309868879,83.30695684578588,0.4206617374101669,0.0,52.0,12.0,0.5872876876176024,Community A
23327.0,0.3669565341789186,0.033257725927158,201473.0,74.93663655780124,0.7313057643798815,54.62537261523495,0.2903019721866217,0.0,49.0,15.0,0.5660685076399438,Community B
36460.0,0.1281421404700746,0.0665515288769802,155649.0,73.95393111329494,0.7571702697242211,84.54655952013515,0.1218942222581452,0.0,71.0,40.0,0.5564551702178263,Community B
36393.0,0.300507440745864,0.0295872347335211,231843.0,51.94949658464967,0.5668573906235591,54.01083099383234,0.4935452778860696,0.0,62.0,32.0,0.5473574003420386,Community A
31677.0,0.1706474384707946,0.058081340769163,463769.0,75.20083643638768,0.7604814763866197,95.64296892668575,0.1034180384758158,0.0,172.0,46.0,0.5084319015294826,Community C
20612.0,0.1516914092358612,0.034404803750823,405401.0,44.64364353197287,0.2282659816635699,60.35949363654565,0.4795342244785424,0.0,83.0,17.0,0.49830422623608867,Community D
26778.0,0.1009301485081698,0.0980210392426939,435955.0,73.27044649598129,0.6597454850463147,55.91529818757355,0.3623830368187708,0.0,71.0,33.0,0.47025314331628437,Community C
32408.0,0.2142341384450395,0.0722317606489203,324568.0,78.48998705859985,0.3385285483360841,52.57576416707211,0.2885117696329261,0.0,57.0,23.0,0.45461546451252777,Community E
23812.0,0.4960134409746556,0.0922592100644082,101373.0,80.11195250018162,0.5631760756046472,93.67219270716032,0.3204936084301258,0.0,20.0,20.0,0.44478821764038146,Community C
48349.0,0.2894493555091173,0.0527157404248354,414204.0,62.886115638942414,0.721790385996975,58.99254885320792,0.2046491593871457,0.0,97.0,28.0,0.44087413810766296,Community C
23016.0,0.2820442835978235,0.1154283028454051,263652.0,58.90854703713888,0.6881334674104246,92.4008831439002,0.1829525067745682,0.0,18.0,24.0,0.4404222340395511,Community E
36013.0,0.4898659587373976,0.0391215556322395,279468.0,85.73070194100532,0.5607687494553097,50.26011470304693,0.4431550106318491,0.0,113.0,24.0,0.42879285213585744,Community A
37844.0,0.1796540600288768,0.1178535208167569,100013.0,81.66212126608104,0.6449841362858542,68.09451844514355,0.2714393045276057,0.0,110.0,36.0,0.4286352774609083,Community A
46590.0,0.1410440610919649,0.0736415004365904,381066.0,46.16365364178749,0.3096939484239938,87.19525968355414,0.1163599426651908,0.0,137.0,32.0,0.42538476858700974,Community D
31701.0,0.2841383215306088,0.0834480658002064,340942.0,87.91765432700286,0.7142409049333565,71.59304933394733,0.2752794229538247,1.0,44.0,24.0,0.4241904053974443,Community B
42566.0,0.2031220139705284,0.0584429560201013,227835.0,50.70006224231641,0.3021925736383175,91.01577297469892,0.128213787010108,2.0,30.0,47.0,0.42337576989057824,Community E
49674.0,0.4226091610080135,0.0824005955881402,485710.0,52.214262950080425,0.2458217714754057,72.1499639403774,0.2946952474917342,0.0,125.0,46.0,0.39814295238068825,Community B
44188.0,0.2375090426104989,0.1060179669211529,443530.0,80.02365280150562,0.4383132421917198,95.93792112922172,0.3381679225575059,2.0,49.0,15.0,0.39692915622276126,Community E
48831.0,0.3290494432100918,0.0377355340673098,332720.0,44.12100367122348,0.7202029358027497,70.2574681267063,0.4018425933615047,2.0,54.0,23.0,0.3893248560799069,Community E
20611.0,0.1739358468127441,0.0690114166167458,437350.0,37.5882127591748,0.3700570797930763,65.04951654429725,0.3787743127283893,0.0,173.0,10.0,0.3823738027409894,Community E
47056.0,0.1611111315990489,0.0857903941059757,451453.0,75.6356668497401,0.5647625241042693,65.89326394201785,0.1978965258108739,2.0,110.0,32.0,0.37401904923031154,Community D
21607.0,0.1859093175408159,0.0797059757106351,345917.0,35.62207086059768,0.5234938436399261,90.55379374713613,0.4274335758757382,0.0,101.0,23.0,0.36774832421400927,Community D
26573.0,0.1381415193487986,0.1043770370698328,294828.0,41.21436951263243,0.6970548165026237,55.677482222314566,0.2241408752402024,0.0,113.0,22.0,0.36426516572532197,Community E
24884.0,0.4988260045763704,0.0425756732028302,182741.0,59.51495421087361,0.5253658713181406,79.50338147232887,0.1822448335448184,2.0,30.0,18.0,0.36411819827104325,Community C
46412.0,0.4449956393461881,0.0847077974880611,114165.0,35.569914949649096,0.6078180025317381,86.60907668047957,0.2020168978963862,0.0,146.0,39.0,0.3592631717142854,Community A
45710.0,0.299420881236113,0.0446094089754253,277420.0,39.66679962267179,0.7629366515085343,82.16465095132065,0.4484330162397064,2.0,177.0,49.0,0.35830279009951504,Community D
36101.0,0.262622921522054,0.0654703443964582,439632.0,43.00600739541751,0.5581724439571256,88.84218677100316,0.3874915131926603,0.0,186.0,20.0,0.3563304010599677,Community E
42207.0,0.3251308380949474,0.0965709887149088,419451.0,37.24813196425767,0.3054031192951635,85.787965074297,0.4173266790735874,2.0,21.0,20.0,0.3562215914278007,Community A
39329.0,0.4739280290030176,0.0812617128038688,156595.0,66.9247584919409,0.476870530635273,95.2122721542816,0.4816813876548731,1.0,16.0,10.0,0.3547500129916487,Community C
40233.0,0.2463789934402983,0.0516294709052204,195604.0,30.07096223111421,0.387957910767617,61.13304615879549,0.4315350838754698,1.0,48.0,19.0,0.345380963361877,Community C
35304.0,0.2548888095021622,0.0932106281458314,104909.0,74.2719837234716,0.4792536150745913,51.45798780069864,0.3275482511219061,1.0,62.0,42.0,0.3392228016641578,Community A
22886.0,0.3475021180348577,0.1011276140562073,396149.0,42.07525791156286,0.6926804368366234,81.52105916176839,0.3091014517355047,0.0,166.0,33.0,0.33675202823870737,Community B
48720.0,0.2536058414167625,0.0542132306199566,448680.0,62.17335413121578,0.6760690483808421,75.29062498208211,0.496921813916145,2.0,122.0,37.0,0.33340690145213475,Community D
35424.0,0.1015402951174956,0.1017071639430863,492058.0,59.95655486377379,0.322374188030138,78.06223587395698,0.408510247305315,2.0,107.0,10.0,0.3328371257641527,Community B
25841.0,0.4880654588901275,0.068358741723268,201860.0,63.29085037302972,0.7023702920286008,97.92558550111052,0.3221030045749044,0.0,68.0,17.0,0.3311460423261785,Community C
49947.0,0.239842371320672,0.0289640320327825,169101.0,37.03671328649093,0.2965616784361564,87.16503892207514,0.4408197804001406,2.0,102.0,35.0,0.32695521042305364,Community D
38180.0,0.3055527572172878,0.0339778409848973,252319.0,35.148684789313336,0.4867267987093674,98.32704195067768,0.1073355233686238,1.0,187.0,46.0,0.32209405571403893,Community D
39016.0,0.4262824277420791,0.0510625602050687,233844.0,47.76735570591615,0.4445844231800693,95.56300338543628,0.1106039476093301,2.0,46.0,28.0,0.32057720755000285,Community D
46739.0,0.1324851646966402,0.0954035865966339,494343.0,40.02657946973467,0.2503958058655156,73.9260040697694,0.1986303871183014,1.0,95.0,33.0,0.3078492407829489,Community B
39053.0,0.2774120464317816,0.05246557638858,170067.0,46.20689493438647,0.3913666526654599,94.11412270926743,0.1285882429150736,0.0,169.0,24.0,0.3032862083893341,Community E
29522.0,0.1934904198166712,0.031374005270858,459134.0,31.118776320098128,0.3368655236777182,63.94072151272659,0.3084758755158406,2.0,191.0,40.0,0.29885864003037826,Community D
45381.0,0.2168636606782962,0.1011242004502619,121269.0,44.00115098347803,0.2145522816630775,64.62473429523106,0.3952814239605852,2.0,39.0,20.0,0.2924557804270898,Community B
41514.0,0.1523728464533297,0.1037089464772448,395961.0,45.30326921751461,0.5107291754459893,68.92673595243552,0.1701889779854377,1.0,168.0,18.0,0.2768803293167531,Community D
22420.0,0.3424729245555378,0.0616549435997728,129119.0,55.78688528142212,0.2650688347313884,99.1233149272062,0.1482614749524489,1.0,27.0,15.0,0.27204202117747206,Community D
47897.0,0.4595554441166668,0.1025159607006196,475032.0,41.05341645743803,0.7087861377562656,64.73337273096553,0.4985891490446376,2.0,120.0,45.0,0.2628709922796732,Community B
22627.0,0.1951581322845051,0.0725463125188748,405079.0,74.03677404516301,0.3553502341963631,85.56003286948292,0.297610312199261,2.0,194.0,32.0,0.258266252840707,Community E
44696.0,0.27828488182804,0.0625429043002087,381485.0,55.466472665686666,0.4127518485190471,76.02251846502556,0.4588397489125994,2.0,158.0,22.0,0.24804445264705782,Community B
35149.0,0.3739002183403842,0.0958493964045715,499098.0,69.97573425618677,0.5409231326933412,79.77720794666831,0.3540403899499649,1.0,152.0,31.0,0.24438593916193857,Community D
27899.0,0.3508165518481884,0.1173190579502536,167376.0,83.63685957597174,0.4517937741486036,61.89547071057566,0.4497568223846735,2.0,176.0,33.0,0.19477951312166614,Community A
48895.0,0.4876508408680734,0.0773655963106439,371183.0,31.42366806811033,0.2364763897734761,88.32856549220698,0.156400512927489,1.0,89.0,13.0,0.19156380819023588,Community B
31266.0,0.3515797848837244,0.0906332106157879,256540.0,64.85507340954959,0.2251850755917263,89.79890866617342,0.2213777452439545,1.0,72.0,29.0,0.17438513701507333,Community C
22672.0,0.4735485366037493,0.1162865735273586,131459.0,48.67930971998901,0.7095094032947342,51.60833232234965,0.2839007437165556,1.0,128.0,40.0,0.15931821802624202,Community E
32781.0,0.2394653321887025,0.0910558478047779,182509.0,49.70097292545152,0.2574662170982872,89.89645405889883,0.2505227614892427,2.0,119.0,36.0,0.15925721049800734,Community A
32867.0,0.4155548269027451,0.0548109348696832,144284.0,45.042228125195706,0.5389908654763741,84.47473523056416,0.3901069273322369,1.0,154.0,17.0,0.1397168031313821,Community E
47601.0,0.1250907987768413,0.0752657918533655,133683.0,66.29017051815731,0.2066413443526749,62.85213833075649,0.2967351882886559,2.0,192.0,18.0,0.1004843621366951,Community A
22739.0,0.2314852574333874,0.112695295606484,301071.0,55.235017976659535,0.2187279490652971,54.834917003222685,0.1056048686358589,1.0,194.0,16.0,0.099342144434036,Community A
23687.0,0.4666488396420045,0.0790267450302554,211927.0,34.3656090757796,0.5466971410625641,58.87829592019808,0.3211389104721731,1.0,125.0,17.0,0.09460560058442799,Community A
21274.0,0.3106082969605402,0.0989613360904766,321416.0,54.50088475505749,0.5986871113140638,81.14133590872389,0.353083803916505,1.0,128.0,10.0,0.09216841035655386,Community A
